indicator,atr_mult,min_hold,htf_filter,total_trades,win_rate,total_pnl,profit_factor
jma,2.5,6,True,188,0.21808510638297873,-1007.7966061304965,0.6007571002024217
jma,3.0,6,True,188,0.21808510638297873,-1007.7966061304965,0.6007571002024217
jma,1.0,4,True,205,0.17560975609756097,-1007.8594850660143,0.5868471413507884
supertrend,2.5,8,True,97,0.26804123711340205,-1014.8002551147109,0.5525457681670661
jma,1.5,6,True,188,0.2127659574468085,-1018.4077956804656,0.594779595700037
supertrend,2.5,4,True,98,0.2653061224489796,-1031.5204466781465,0.5473353612325232
kama,1.0,18,True,163,0.3558282208588957,-1031.670409931539,0.6479639408352814
supertrend,2.5,6,True,98,0.2653061224489796,-1034.7769548461733,0.5467356769998356
jma,1.0,6,True,188,0.2074468085106383,-1045.8684568045885,0.5792560557100142
supertrend,3.0,12,True,97,0.26804123711340205,-1047.2104133351784,0.5446305219083073
supertrend,1.5,18,True,96,0.2708333333333333,-1049.5583969798472,0.5439758767671318
supertrend,3.0,8,True,97,0.26804123711340205,-1056.5291498513495,0.5425926956192811
kama,1.0,4,True,262,0.22137404580152673,-1060.4040061890921,0.645039250055733
supertrend,3.0,4,True,98,0.2653061224489796,-1082.1287008728236,0.5339084911112589
supertrend,3.0,6,True,98,0.2653061224489796,-1086.2766910913185,0.532959633617363
supertrend,2.0,18,True,96,0.2708333333333333,-1090.0352606589365,0.5340552126480145
kama,1.5,4,True,262,0.22137404580152673,-1131.93552784696,0.6292516311604736
kama,1.0,6,True,237,0.25738396624472576,-1137.1806910847686,0.6315224160934715
supertrend,2.5,18,True,96,0.2708333333333333,-1138.7976356356658,0.5226095935244146
kama,1.5,18,True,163,0.3558282208588957,-1139.489718857047,0.6231813661664636
kama,2.0,4,True,262,0.22137404580152673,-1144.3383283623523,0.626340346601923
kama,2.0,18,True,163,0.3558282208588957,-1154.1605978108637,0.61975388202175
kama,2.5,4,True,262,0.22137404580152673,-1160.7252505252857,0.6230105927893308
kama,3.0,4,True,262,0.22137404580152673,-1160.7252505252857,0.6230105927893308
kama,2.5,18,True,163,0.3558282208588957,-1162.7100137486646,0.6180148428779038
kama,3.0,18,True,163,0.3558282208588957,-1177.09920823719,0.6151070580378264
kama,1.5,6,True,237,0.25738396624472576,-1192.3487647309926,0.6195692674573235
kama,1.0,8,True,221,0.2850678733031674,-1200.172308287103,0.6178250881645274
kama,2.0,6,True,237,0.25738396624472576,-1200.2610576155403,0.6176428720232253
supertrend,3.0,18,True,96,0.2708333333333333,-1202.102026326194,0.5066039565607693
kama,2.5,6,True,237,0.25738396624472576,-1216.6479797784737,0.6144391950880147
kama,3.0,6,True,237,0.25738396624472576,-1216.6479797784737,0.6144391950880147
kama,1.5,8,True,220,0.2818181818181818,-1240.147047739609,0.6092587818576499
kama,2.0,8,True,220,0.2818181818181818,-1243.4463148096518,0.6086287827255134
kama,2.5,8,True,220,0.2818181818181818,-1243.4463148096518,0.6086287827255134
kama,3.0,8,True,220,0.2818181818181818,-1243.4463148096518,0.6086287827255134
supertrend,1.0,4,False,189,0.21693121693121692,-1267.3246954468323,0.5776881602971723
supertrend,1.0,6,False,189,0.2275132275132275,-1456.7858607717133,0.5415323231592075
psar,2.0,4,False,450,0.3111111111111111,-1473.51816409086,0.7325855315816319
psar,1.5,4,False,450,0.30666666666666664,-1493.0000975347127,0.726462865626866
supertrend,1.0,8,False,188,0.24468085106382978,-1497.0492335245397,0.5460583924242767
supertrend,2.0,4,False,189,0.2751322751322751,-1530.156265273072,0.5626805679055902
psar,2.5,4,False,450,0.31555555555555553,-1559.282214308254,0.7260705048097406
psar,3.0,4,False,450,0.31333333333333335,-1565.4342649126065,0.7248872508911728
psar,1.0,6,False,445,0.30112359550561796,-1573.2802928136489,0.7112348785851454
psar,1.5,6,False,445,0.31235955056179776,-1582.6203579549692,0.7138154053349732
supertrend,1.5,4,False,189,0.24867724867724866,-1597.4651552135517,0.5278958150149601
supertrend,2.0,6,False,189,0.2751322751322751,-1610.2265292905784,0.5531869786501123
psar,2.0,6,False,445,0.3146067415730337,-1612.9397232985132,0.7112974276513238
psar,2.5,6,False,444,0.31756756756756754,-1635.8699589940059,0.7134679865057428
supertrend,1.0,12,False,187,0.26737967914438504,-1643.9359240799133,0.5281945337582814
