total_trades,wins,win_rate,total_pnl,final_equity,return_pct,max_drawdown,symbol,indicator,param_a,param_b,atr_mult,min_hold_bars
86,38,0.4418604651162791,4263.422356876711,5263.422356876711,426.34223568767106,59.51323068213862,QBTS,kama,10,30,1.0,24
204,49,0.24019607843137256,2732.02426268588,3732.02426268588,273.202426268588,57.89515173678199,QBTS,kama,10,30,1.5,0
155,53,0.3419354838709677,3041.363215517443,4041.3632155174437,304.13632155174435,56.15735704811715,QBTS,kama,10,30,1.5,6
128,52,0.40625,2875.1623538846807,3875.1623538846807,287.5162353884681,65.86339185976723,QBTS,kama,10,30,1.5,12
86,38,0.4418604651162791,4215.296593265337,5215.296593265337,421.5296593265337,59.340886877640706,QBTS,kama,10,30,1.5,24
204,49,0.24019607843137256,2732.02426268588,3732.02426268588,273.202426268588,57.89515173678199,QBTS,kama,10,30,2.0,0
155,53,0.3419354838709677,3041.363215517443,4041.3632155174437,304.13632155174435,56.15735704811715,QBTS,kama,10,30,2.0,6
128,52,0.40625,2875.1623538846807,3875.1623538846807,287.5162353884681,65.86339185976723,QBTS,kama,10,30,2.0,12
86,38,0.4418604651162791,4285.423973858147,5285.423973858147,428.54239738581475,59.4190344932142,QBTS,kama,10,30,2.0,24
204,49,0.24019607843137256,2732.02426268588,3732.02426268588,273.202426268588,57.89515173678199,QBTS,kama,10,30,2.5,0
155,53,0.3419354838709677,3041.363215517443,4041.3632155174437,304.13632155174435,56.15735704811715,QBTS,kama,10,30,2.5,6
128,52,0.40625,2875.1623538846807,3875.1623538846807,287.5162353884681,65.86339185976723,QBTS,kama,10,30,2.5,12
86,38,0.4418604651162791,4285.423973858147,5285.423973858147,428.54239738581475,59.4190344932142,QBTS,kama,10,30,2.5,24
204,49,0.24019607843137256,2732.02426268588,3732.02426268588,273.202426268588,57.89515173678199,QBTS,kama,10,30,0.0,0
155,53,0.3419354838709677,3041.363215517443,4041.3632155174437,304.13632155174435,56.15735704811715,QBTS,kama,10,30,0.0,6
128,52,0.40625,2875.1623538846807,3875.1623538846807,287.5162353884681,65.86339185976723,QBTS,kama,10,30,0.0,12
86,38,0.4418604651162791,4238.780649327141,5238.780649327141,423.8780649327141,59.4190344932142,QBTS,kama,10,30,0.0,24
193,44,0.22797927461139897,2326.00123082356,3326.00123082356,232.600123082356,47.401030060285485,QBTS,kama,10,40,1.0,0
149,49,0.3288590604026846,3280.185244809217,4280.185244809217,328.01852448092166,48.135683092354434,QBTS,kama,10,40,1.0,6
121,49,0.4049586776859504,3365.9774846195132,4365.977484619512,336.59774846195126,59.880735061266556,QBTS,kama,10,40,1.0,12
84,37,0.44047619047619047,4216.239287626386,5216.239287626386,421.62392876263857,54.708484328532734,QBTS,kama,10,40,1.0,24
193,45,0.23316062176165803,2996.4004997917077,3996.4004997917077,299.6400499791707,48.56541089479977,QBTS,kama,10,40,1.5,0
149,49,0.3288590604026846,3253.315495318257,4253.315495318257,325.33154953182566,48.59354366148269,QBTS,kama,10,40,1.5,6
121,49,0.4049586776859504,3333.66458739876,4333.66458739876,333.366458739876,59.880735061266556,QBTS,kama,10,40,1.5,12
84,37,0.44047619047619047,4062.237150203824,5062.237150203824,406.22371502038243,54.708484328532734,QBTS,kama,10,40,1.5,24
193,45,0.23316062176165803,2996.4004997917077,3996.4004997917077,299.6400499791707,48.56541089479977,QBTS,kama,10,40,2.0,0
149,49,0.3288590604026846,3253.315495318257,4253.315495318257,325.33154953182566,48.59354366148269,QBTS,kama,10,40,2.0,6
121,49,0.4049586776859504,3333.66458739876,4333.66458739876,333.366458739876,59.880735061266556,QBTS,kama,10,40,2.0,12
84,37,0.44047619047619047,4134.631321918607,5134.631321918607,413.4631321918607,54.708484328532734,QBTS,kama,10,40,2.0,24
193,45,0.23316062176165803,2996.4004997917077,3996.4004997917077,299.6400499791707,48.56541089479977,QBTS,kama,10,40,2.5,0
149,49,0.3288590604026846,3253.315495318257,4253.315495318257,325.33154953182566,48.59354366148269,QBTS,kama,10,40,2.5,6
121,49,0.4049586776859504,3333.66458739876,4333.66458739876,333.366458739876,59.880735061266556,QBTS,kama,10,40,2.5,12
83,37,0.4457831325301205,4127.244593284957,5127.244593284957,412.72445932849575,54.708484328532734,QBTS,kama,10,40,2.5,24
193,45,0.23316062176165803,2996.4004997917077,3996.4004997917077,299.6400499791707,48.56541089479977,QBTS,kama,10,40,0.0,0
149,49,0.3288590604026846,3253.315495318257,4253.315495318257,325.33154953182566,48.59354366148269,QBTS,kama,10,40,0.0,6
121,49,0.4049586776859504,3333.66458739876,4333.66458739876,333.366458739876,59.880735061266556,QBTS,kama,10,40,0.0,12
83,37,0.4457831325301205,4072.2523878278653,5072.252387827865,407.22523878278656,54.708484328532734,QBTS,kama,10,40,0.0,24
189,43,0.2275132275132275,2186.292335858229,3186.2923358582293,218.6292335858229,48.08594248336174,QBTS,kama,10,50,1.0,0
146,48,0.3287671232876712,3145.744527323629,4145.74452732363,314.574452732363,49.091018810505496,QBTS,kama,10,50,1.0,6
117,49,0.4188034188034188,3573.0271602898997,4573.0271602899,357.30271602899,55.70178197699084,QBTS,kama,10,50,1.0,12
81,36,0.4444444444444444,4264.4350703867,5264.4350703867,426.4435070386701,51.40913129849536,QBTS,kama,10,50,1.0,24
189,44,0.2328042328042328,2869.9743048291507,3869.9743048291516,286.99743048291515,48.958543112915784,QBTS,kama,10,50,1.5,0
